,GPA,Major,Program
1,0.3262368099165891,0.2651811703302218,0.32259394997639407
3,0.320917397449145,0.3170034679759639,0.32259394997639407
5,0.3181001403988361,0.3170034679759639,0.30925148560128
7,0.31038577141863527,0.3189116088417367,0.30925148560128
9,0.3074960680135474,0.3189116088417367,0.30925148560128
11,0.3044548998859979,0.3170034679759639,0.30925148560128
13,0.3091488309227211,0.3170034679759639,0.30925148560128
15,0.3009715544636851,0.2651811703302218,0.2651811703302218
17,0.3045012400799623,0.2651811703302218,0.2651811703302218
19,0.29411328966206146,0.2651811703302218,0.2651811703302218
21,0.28657650554984543,0.2651811703302218,0.2651811703302218
